"wine","vintage","region","varietal","rating","price"
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Allegrini Palazzo della Torre ",2,"Italy","Other Red",90,19.99
"Marcarini Barolo Brunate ",2,"Italy","Other Red",94,55.99
"Chateau Beausejour Duffau ",3,"France","Other Red",96,97.99
"Clos du Marquis ",2,"France","Other Red",96,59.99
"Altocedro Ano Cero Malbec ",4,"South America","Other Red",92,18.99
"Stag's Leap Wine Cellars Artemis Cabernet Sauvignon (375ML half-bottle) ",4,"California","Cabernet Sauvignon",91,32.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Tasca d'Almerita Lamuri Nero d'Avola Sicilia ",4,"Italy","Other Red",91,19.99
"La Playa Estate Un-Oaked Chardonnay 2014",6,"South America","Chardonnay",89,7.99
"Mollydooker Blue Eyed Boy Shiraz ",5,"Australia","Syrah/Shiraz",92,55.99
"Los Vascos Sauvignon Blanc 2014",6,"South America","Sauvignon Blanc",90,10.99
"Luigi Bosca Malbec ",3,"South America","Other Red",90,24.99
"Shoofly Chardonnay ",4,"Australia","Chardonnay",89,10.99
"Red Knot Shiraz ",4,"Australia","Syrah/Shiraz",90,15.99
"The Prisoner Wine Company Blindfold ",5,"California","Other Whites",90,29.99
"Chateau Fourcas Dupre ",2,"France","Other Red",92,19.99
"Matanzas Creek Sauvignon Blanc (375ML half-bottle) ",5,"California","Sauvignon Blanc",91,10.99
"Los Vascos Grande Reserve Cabernet Sauvignon ",4,"South America","Cabernet Sauvignon",91,17.99
"Forrest Estate The Doctors' Sauvignon Blanc ",5,"New Zealand","Sauvignon Blanc",90,14.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Gaja Sperss ",2,"Italy","Other Red",97,239
"Louis Jadot Chassagne-Montrachet ",4,"France","Chardonnay",89,54.99
"Guy Saget Vouvray Marie de Beauregard ",5,"France","Other Whites",91,17.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Tierra Divina ZA ZIN ",2,"California","Zinfandel",92,15.99
"Belle Glos Las Alturas Vineyard Pinot Noir ",5,"California","Pinot Noir",93,39.99
"Merino Syrah ",4,"South America","Syrah/Shiraz",91,15.99
"Felsina Berardenga Chianti Classico ",3,"Italy","Other Red",92,22.99
"Qupe Central Coast Syrah ",4,"California","Syrah/Shiraz",91,18.99
"Castiglion del Bosco Dainero ",2,"Italy","Merlot",90,16.99
"Gerard Bertrand Grand Terroir Pic Saint Loup ",3,"France","Other Red",90,17.99
"Elderton Shiraz ",4,"Australia","Syrah/Shiraz",93,25.99
"Bodega Norton Privada ",3,"South America","Other Red",93,23.99
"Robert Hall Meritage Red Blend ",4,"California","Other Red",92,24.99
"Taken Wine Company Napa Valley Red Blend ",4,"California","Other Red",93,28.99
"Bogle Petite Sirah ",4,"California","Other Whites",89,10.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Clarendon Hills Brookman Vineyard Cabernet Sauvignon ",0,"Australia","Cabernet Sauvignon",93,34.99
"Qupe Central Coast Syrah ",4,"California","Syrah/Shiraz",91,18.99
"Schug Sauvignon Blanc ",5,"California","Sauvignon Blanc",90,19.99
"Domaine de Chevalier ",1,"France","Other Red",97,89.99
"Roth Alexander Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",91,24.99
"Poggio al Tesoro Mediterra ",2,"Italy","Other Red",91,19.99
"Vina Ventisquero Carmenere Grey Single Block Trinidad Vineyard ",3,"South America","Other Red",92,18.99
"Cline Ancient Vines Zinfandel ",5,"California","Zinfandel",88,15.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Noble Vines 337 Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",88,13.99
"Chateau Larcis-Ducasse ",4,"France","Other Red",95,64.99
"Clarendon Hills Astralis Syrah ",0,"Australia","Syrah/Shiraz",97,139
"Chateau Gloria ",3,"France","Other Red",90,42.99
"Clarendon Hills Astralis Syrah ",0,"Australia","Syrah/Shiraz",97,139
"Chateau Baret ",2,"France","Other Red",91,19.99
"Chateau Larcis-Ducasse ",4,"France","Other Red",95,64.99
"Pyramid Valley Lions Tooth Chardonnay ",4,"New Zealand","Chardonnay",95,71.99
"Achaval-Ferrer Quimera ",3,"South America","Other Red",92,34.99
"Chateau Fuisse Les Combettes Pouilly-Fuisse ",3,"France","Chardonnay",94,67.99
"Vieille Julienne Chateauneuf-du-Pape ",1,"France","Other Red",95,59.99
"Frog's Leap Zinfandel (375ML half-bottle) ",4,"California","Zinfandel",91,15.99
"Renato Ratti Barbera d'Asti ",3,"Italy","Other Red",91,18.99
"Philip Togni Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",97,109
"Wild Oats Chardonnay ",4,"Australia","Chardonnay",90,14.99
"Fattoria del Cerro Chianti Colli Senesi ",5,"Italy","Other Red",90,13.99
"Emmolo Merlot ",4,"California","Merlot",95,59.99
"Gaja Sperss ",2,"Italy","Other Red",97,239
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Innocent Bystander Pinot Noir ",5,"Australia","Pinot Noir",91,17.99
"Mollydooker Gigglepot Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,59.99
"Gaja Sperss ",2,"Italy","Other Red",97,239
"Marchesi di Barolo Barolo Cannubi ",0,"Italy","Other Red",96,89
"Goldwater Sauvignon Blanc ",5,"New Zealand","Sauvignon Blanc",91,17.99
"Chateau Couhins Blanc ",1,"France","Other Whites",91,19.99
"Domaine du Vieux Lazaret Chateauneuf-du-Pape (375ML half-bottle) ",3,"France","Other Red",89,17.99
"Caparzo Brunello di Montalcino ",1,"Italy","Other Red",91,39.99
"Chateau Gracia ",3,"France","Other Red",95,129
"Glen Carlou Grand Classique ",2,"South Africa","Other Red",90,17.99
"Mollydooker Blue Eyed Boy Shiraz ",5,"Australia","Syrah/Shiraz",92,55.99
"Pewsey Vale Eden Valley Riesling 2014",6,"Australia","Other Whites",95,16.99
"Groth Reserve Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",94,99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Veramonte Cabernet Sauvignon ",5,"South America","Cabernet Sauvignon",89,9.99
"Chateau Grand Mayne (Futures Pre-sale) ",4,"France","Other Red",93,34.99
"Justin Isosceles ",3,"California","Other Red",92,64.99
"Chateau Montrose ",2,"France","Other Red",100,269
"Chateau Rauzan Segla ",2,"France","Other Red",98,145
"Domaine du Vieux Lazaret Chateauneuf-du-Pape ",3,"France","Other Red",89,32.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Michel Torino Don David Reserve Malbec ",4,"South America","Other Red",91,15.99
"Gaja Sperss ",2,"Italy","Other Red",97,239
"Gerard Bertrand Syrah-Carignan Minervois ",3,"France","Other Red",90,17.99
"Chateau Monbousquet ",2,"France","Other Red",95,59.99
"Rodney Strong Charlotte's Home Sauvignon Blanc ",5,"California","Sauvignon Blanc",91,15.99
"Grgich Hills Merlot ",2,"California","Merlot",95,39.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Los Vascos Grande Reserve Cabernet Sauvignon ",4,"South America","Cabernet Sauvignon",91,17.99
"Tenute Silvio Nardi Brunello di Montalcino ",1,"Italy","Other Red",92,49.99
"Bila-Haut by Michel Chapoutier Bila-Haut Cotes du Roussillon-Villages ",4,"France","Other Red",91,13.99
"Avignonesi Vino Nobile di Montepulciano ",3,"Italy","Other Red",91,29.99
"Fattoria del Cerro Chianti Colli Senesi ",5,"Italy","Other Red",90,13.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Robert Craig Cellars Affinity Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,44.99
"Clarendon Hills Astralis Syrah ",0,"Australia","Syrah/Shiraz",97,139
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Los Vascos Grande Reserve Cabernet Sauvignon ",4,"South America","Cabernet Sauvignon",91,17.99
"Bayten Buitenverwachting Sauvignon Blanc ",5,"South Africa","Sauvignon Blanc",90,15.99
"Pepperjack Barossa Red Blend ",4,"Australia","Other Red",93,21.99
"Yalumba The Scribbler ",3,"Australia","Other Red",89,19.99
"Chateau Leoville Barton ",3,"France","Other Red",95,77.99
"Valley of the Moon Pinot Blanc ",4,"California","Other Whites",91,15.99
"Hey Mambo Sultry Red ",4,"California","Other Red",90,9.99
"Chateau Grand Mayne (Futures Pre-sale) ",4,"France","Other Red",93,34.99
"Justin Isosceles ",3,"California","Other Red",92,64.99
"Chateau Lyonnat Lussac - Saint Emilion ",1,"France","Other Red",90,17.99
"La Posta Angel Paulucci Vineyard Malbec ",4,"South America","Other Red",89,17.99
"Beringer Knights Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,28.99
"Fattoria del Cerro Vino Nobile di Montepulciano ",3,"Italy","Other Red",89,18.99
"Apaltagua Envero Carmenere ",4,"South America","Other Red",93,15.99
"Conn Creek Anthology ",4,"California","Other Red",90,49.99
"Michel Gassier Costieres de Nimes Nostre Pais White ",4,"France","Other Whites",90,19.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Felsina Chianti Classico Riserva Rancia ",2,"Italy","Other Red",95,48.99
"Casanova di Neri Brunello di Montalcino Tenuta Nuova ",1,"Italy","Other Red",93,77.99
"Chateau Lynch-Bages ",2,"France","Other Red",98,189
"Pewsey Vale Eden Valley Riesling 2014",6,"Australia","Other Whites",95,16.99
"Castiglion del Bosco Rosso di Montalcino ",3,"Italy","Other Red",91,19.99
"Ritual Casablanca Valley Sauvignon Blanc ",4,"South America","Sauvignon Blanc",93,17.99
"Felsina Chianti Classico Riserva Rancia (half-bottle) ",2,"Italy","Other Red",95,23.99
"Dominus Napanook Vineyard ",3,"California","Other Red",91,49.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Achaval-Ferrer Quimera ",3,"South America","Other Red",92,34.99
"Guigal Gigondas Rouge ",2,"France","Other Red",91,32.99
"Chateau Grand Mayne (Futures Pre-sale) ",4,"France","Other Red",93,34.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Fattoria dei Barbi Brunello di Montalcino ",0,"Italy","Other Red",91,49.99
"La Crema Russian River Pinot Noir ",4,"California","Pinot Noir",90,34.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Belle Glos Dairyman Vineyard Pinot Noir ",5,"California","Pinot Noir",92,39.99
"Lamole di Lamole Chianti Classico ",2,"Italy","Other Red",90,15.99
"Quivira Dry Creek Valley Zinfandel ",4,"California","Zinfandel",91,21.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Matanzas Creek Sauvignon Blanc (375ML half-bottle) ",5,"California","Sauvignon Blanc",91,10.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Castiglion del Bosco Dainero ",2,"Italy","Merlot",90,16.99
"Terlano Pinot Grigio ",5,"Italy","Other Whites",92,22.99
"Tenuta dell'Ornellaia ",3,"Italy","Other Red",97,219
"Maison Nicolas Perrin Crozes-Hermitage ",4,"France","Syrah/Shiraz",92,24.99
"Casanova di Neri Brunello di Montalcino Tenuta Nuova ",1,"Italy","Other Red",93,77.99
"Masi Masianco Pinot Grigio/Verduzzo ",5,"Italy","Other Whites",90,13.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Catena Cabernet Sauvignon ",3,"South America","Cabernet Sauvignon",90,16.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Chateau Olivier ",2,"France","Other Red",95,39.99
"Raymond Generations Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,109
"Domaine Lafage Vin du Pays Cote d'Est ",4,"France","Other Whites",90,12.99
"Torbreck Woodcutters Shiraz ",4,"Australia","Syrah/Shiraz",91,21.99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Chateau Gloria ",3,"France","Other Red",90,42.99
"Chateau Grand Mayne (Futures Pre-sale) ",4,"France","Other Red",93,34.99
"Chateau Branaire-Ducru ",2,"France","Other Red",95,74.99
"Querciabella Chianti Classico ",2,"Italy","Other Red",93,28.99
"Zenato Valpolicella Superiore Ripassa ",2,"Italy","Other Red",92,29.99
"Davis Bynum Jane's Vineyard Pinot Noir ",4,"California","Pinot Noir",90,34.99
"Col d'Orcia Rosso di Montalcino ",3,"Italy","Other Red",90,23.99
"Ritual Casablanca Valley Sauvignon Blanc ",4,"South America","Sauvignon Blanc",93,17.99
"Yealands Sauvignon Blanc 2014",6,"New Zealand","Sauvignon Blanc",90,14.99
"Penfolds Kalimna Bin 28 Shiraz ",2,"Australia","Syrah/Shiraz",92,29.99
"Four Vines Truant Zinfandel ",3,"California","Zinfandel",88,11.99
"Clarendon Hills Astralis Syrah ",0,"Australia","Syrah/Shiraz",97,139
"Markham Merlot ",4,"California","Merlot",89,23.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Chateau de Pez ",2,"France","Other Red",92,39.99
"Ceretto Santo Stefano Moscato d'Asti ",5,"Italy","Other Whites",89,21.99
"Greywacke Pinot Noir Marlborough ",4,"New Zealand","Pinot Noir",96,38.99
"Pio Cesare Barolo ",2,"Italy","Other Red",95,59.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"J. Lohr Wildflower Valdiguie ",5,"California","Other Red",90,9.99
"Pine Ridge Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",89,56.99
"Wild Oats Shiraz ",3,"Australia","Syrah/Shiraz",90,13.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Grgich Hills Merlot ",2,"California","Merlot",95,39.99
"Goldwater Sauvignon Blanc ",5,"New Zealand","Sauvignon Blanc",91,17.99
"Torbreck Woodcutters Shiraz ",4,"Australia","Syrah/Shiraz",91,21.99
"Guigal Gigondas Rouge ",2,"France","Other Red",91,32.99
"Emiliana Coyam (Certified Biodynamic) ",3,"South America","Other Red",91,34.99
"Poggio al Tesoro Mediterra ",2,"Italy","Other Red",91,19.99
"Domaine Lafage Vin du Pays Cote d'Est ",4,"France","Other Whites",90,12.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Castellare Chianti Classico ",4,"Italy","Other Red",90,23.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Los Vascos Sauvignon Blanc 2014",6,"South America","Sauvignon Blanc",90,10.99
"Poggio al Tesoro Mediterra ",2,"Italy","Other Red",91,19.99
"John Duval Entity Shiraz ",4,"Australia","Syrah/Shiraz",96,32.99
"Frog's Leap Merlot (375ML half-bottle) ",3,"California","Merlot",92,18.99
"Concha y Toro Casillero del Diablo Sauvignon Blanc ",5,"South America","Sauvignon Blanc",88,11.99
"Rocche Costamagna Barolo Rocche dell'Annunziata ",1,"Italy","Other Red",93,34.99
